locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name
SL1344_0862,1,0.31141,1.0,6e-06,d2,SL1344_0862
SL1344_0991,1,0.31265,1.0,6e-06,d2,sseI
SL1344_0035,1,0.31348,1.0,6e-06,d2,SL1344_0035
SL1344_1326,2,0.16929,1.0,0.413708,d2,ssrA
SL1344_2165,1,0.31458,1.0,6e-06,d2,mglC
SL1344_3681,1,0.31363,1.0,6e-06,d2,rfaZ
SL1344_2124,1,0.31646,1.0,6e-06,d2,thiM
SL1344_4397,3,0.21812,1.0,6e-06,d2,SL1344_4397
SL1344_3473,1,0.32348,1.0,6e-06,d2,feoB
SL1344_2218,2,0.41989,1.0,6e-06,d2,SL1344_2218
SL1344_2956,1,0.32589,1.0,6e-06,d2,fucI
SL1344_0993,1,0.33174,1.0,6e-06,d2,SL1344_0993
SL1344_2731,2,0.54853,1.0,6e-06,d2,SL1344_2731
SL1344_0831,1,0.32537,1.0,6e-06,d2,SL1344_0831
SL1344_3222,1,0.32731,1.0,6e-06,d2,garL
SL1344_1970,1,0.33028,1.0,6e-06,d2,SL1344_1970
SL1344_2043,4,0.47557,1.0,6e-06,d2,sopA
SL1344_0790,1,0.33171,1.0,6e-06,d2,ybhQ
SL1344_2311,1,0.33262,1.0,6e-06,d2,SL1344_2311
SL1344_0160,2,0.31994,1.0,6e-06,d2,SL1344_0160
SL1344_1460,1,0.33452,1.0,6e-06,d2,hypA
SL1344_0557,2,0.24666,1.0,6e-06,d2,ybdG
SL1344_1343,1,0.33557,1.0,6e-06,d2,ssaJ
SL1344_3637,1,0.33379,1.0,6e-06,d2,yiaN
SL1344_0712,1,0.3398,1.0,6e-06,d2,gltA
SL1344_1477,1,0.3407,1.0,6e-06,d2,SL1344_1477
SL1344_3363,1,0.34127,1.0,6e-06,d2,acrE
SL1344_1400,1,0.34198,1.0,6e-06,d2,fumC
SL1344_2115,1,0.34356,1.0,6e-06,d2,SL1344_2115
SL1344_1800,2,0.36593,1.0,6e-06,d2,mig-3
SL1344_3847,1,0.34826,1.0,6e-06,d2,kup
SL1344_1309,1,0.34438,1.0,6e-06,d2,ynhG
SL1344_4520,2,0.24423,1.0,6e-06,d2,sthB
SL1344_2256,1,0.34573,1.0,6e-06,d2,sseL
SL1344_1929,4,0.31856,1.0,6e-06,d2,SL1344_1929
SL1344_4012,1,0.34384,1.0,6e-06,d2,sbp
SL1344_2767,1,0.34746,1.0,6e-06,d2,nixA
SL1344_2864,1,0.34789,1.0,6e-06,d2,sipB
SL1344_1677,1,0.3501,1.0,6e-06,d2,oppA
SL1344_2076,3,0.37094,1.0,6e-06,d2,wcaM
SL1344_1340,2,0.28056,1.0,6e-06,d2,ssaG
SL1344_P2_0071,1,0.34849,1.0,6e-06,d2,sogL
SL1344_0098,1,0.34954,1.0,6e-06,d2,polB
SL1344_0988,1,0.34978,1.0,6e-06,d2,SL1344_0988
SL1344_3096,1,0.3526,1.0,6e-06,d2,SL1344_3096
SL1344_2772,1,0.35598,1.0,6e-06,d2,SL1344_2772
SL1344_1307,1,0.35618,1.0,6e-06,d2,sufS
