locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name,ID
SL1344_3116,1,0.11612,1.0,0.25415,d1,SL1344_3116,gene-SL1344_3116
SL1344_1600,3,-0.03307,1.0,0.575131,d1,SL1344_1600,gene-SL1344_1600
SL1344_2192,1,0.11866,1.0,0.25415,d1,rtn,gene-SL1344_2192
SL1344_1325,2,0.033745,1.0,0.440589,d1,ssrB,gene-SL1344_1325
SL1344_2674,1,0.12213,1.0,0.25415,d1,sopE,gene-SL1344_2674
SL1344_2536,1,0.12065,1.0,0.25415,d1,SL1344_2536,gene-SL1344_2536
SL1344_P1_0027,2,0.072979,1.0,0.440589,d1,traP,gene-SL1344_P1_0027
SL1344_1565,1,0.12507,1.0,0.25415,d1,SL1344_1565,gene-SL1344_1565
SL1344_2954,1,0.12399,1.0,0.25415,d1,fucA,gene-SL1344_2954
SL1344_0648,1,0.12684,1.0,0.25415,d1,hscC,gene-SL1344_0648
SL1344_1754,1,0.12901,1.0,0.25415,d1,yeaB,gene-SL1344_1754
SL1344_1067,1,0.12864,1.0,0.25415,d1,SL1344_1067,gene-SL1344_1067
SL1344_P2_0011,4,-0.15124,4.2e-05,0.676149,d1,yagA,gene-SL1344_P2_0011
SL1344_2714,1,0.13352,1.0,0.25415,d1,SL1344_2714,gene-SL1344_2714
SL1344_2425,2,0.065998,1.0,0.440589,d1,eutJ,gene-SL1344_2425
SL1344_0265,1,0.13383,1.0,0.25415,d1,sciF,gene-SL1344_0265
SL1344_3934,5,0.58322,4.2e-05,7e-06,d1,SL1344_3934,gene-SL1344_3934
SL1344_P1_0070,2,0.070003,1.0,0.440589,d1,spvD,gene-SL1344_P1_0070
SL1344_1725,1,0.13513,1.0,0.25415,d1,ymgE,gene-SL1344_1725
SL1344_P2_0010,3,-0.11315,1.0,0.575131,d1,yafB,gene-SL1344_P2_0010
SL1344_P1_0024,1,0.13338,1.0,0.25415,d1,traR,gene-SL1344_P1_0024
SL1344_1563,2,0.17341,1.0,7e-06,d1,SL1344_1563,gene-SL1344_1563
SL1344_2089,1,0.13542,1.0,0.25415,d1,wcaD,gene-SL1344_2089
SL1344_3637,1,0.13518,1.0,0.25415,d1,yiaN,gene-SL1344_3637
SL1344_P2_0071,1,0.13402,1.0,0.25415,d1,sogL,gene-SL1344_P2_0071
SL1344_1169,1,0.13851,1.0,0.25415,d1,phoP,gene-SL1344_1169
SL1344_2657,1,0.13769,1.0,0.25415,d1,smpA,gene-SL1344_2657
SL1344_3174,2,0.47361,1.0,7e-06,d1,glnE,gene-SL1344_3174
SL1344_2628,2,0.096393,1.0,0.440589,d1,aroF,gene-SL1344_2628
SL1344_0468,1,0.14269,1.0,0.25415,d1,acrB,gene-SL1344_0468
SL1344_P1_0007,2,0.20553,1.0,7e-06,d1,traD,gene-SL1344_P1_0007
SL1344_P2_0087,5,-0.15902,4.2e-05,1.0,d1,pilT,gene-SL1344_P2_0087
SL1344_2681,1,0.15045,1.0,0.25415,d1,SL1344_2681,gene-SL1344_2681
SL1344_4194,2,0.12137,1.0,7e-06,d1,siiB,gene-SL1344_4194
SL1344_0776,1,0.14916,1.0,0.25415,d1,slrP,gene-SL1344_0776
SL1344_3031,1,0.14789,1.0,0.25415,d1,gcvT,gene-SL1344_3031
SL1344_P2_0056,6,-0.039095,4.2e-05,7e-06,d1,traY,gene-SL1344_P2_0056
SL1344_1560,2,0.06146,1.0,0.440589,d1,SL1344_1560,gene-SL1344_1560
SL1344_2221,1,0.15126,1.0,0.25415,d1,SL1344_2221,gene-SL1344_2221
SL1344_1077,1,0.15229,1.0,0.25415,d1,csgF,gene-SL1344_1077
SL1344_2675,1,0.15205,1.0,0.25415,d1,SL1344_2675,gene-SL1344_2675
SL1344_P1_0008,4,-0.10028,1.0,0.676149,d1,traT,gene-SL1344_P1_0008
SL1344_P2_0092,3,0.096928,1.0,0.575131,d1,pilO,gene-SL1344_P2_0092
SL1344_1307,1,0.15584,1.0,0.25415,d1,sufS,gene-SL1344_1307
SL1344_P2_0086,5,-0.14833,4.2e-05,0.752108,d1,pilU,gene-SL1344_P2_0086
SL1344_0192,1,0.15779,1.0,0.25415,d1,fhuA,gene-SL1344_0192
SL1344_2715,1,0.15949,1.0,0.25415,d1,SL1344_2715,gene-SL1344_2715
SL1344_0862,1,0.1578,1.0,0.25415,d1,SL1344_0862,gene-SL1344_0862
SL1344_0160,2,0.1055,1.0,0.440589,d1,SL1344_0160,gene-SL1344_0160
SL1344_3681,1,0.15841,1.0,0.25415,d1,rfaZ,gene-SL1344_3681
SL1344_0685,1,0.15824,1.0,0.25415,d1,kdpD,gene-SL1344_0685
SL1344_2181,1,0.16355,1.0,0.25415,d1,fruA,gene-SL1344_2181
SL1344_2738,2,0.084344,1.0,0.440589,d1,SL1344_2738,gene-SL1344_2738
