Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
ssaP,1,-0.31634,0.569258,0.9267129999999999,d2
FQ312003.1:116392,1,-0.052953999999999994,0.569258,0.9267129999999999,d2
FQ312003.1:1990061,1,-0.11895,0.569258,0.9267129999999999,d2
ybeJ,2,-0.024591,1.0,0.922414,d2
traH,4,-0.028439999999999997,1.0,9e-06,d2
fhuB,1,-0.12370999999999999,0.569258,0.9267129999999999,d2
SL1344_0988,1,-0.10755,0.569258,0.9267129999999999,d2
FQ312003.1:1680498,1,-0.50083,0.569258,0.9267129999999999,d2
FQ312003.1:3304398,1,-0.10725,0.569258,0.9267129999999999,d2
SL1344_2935,2,-0.10974,1.0,0.922414,d2
FQ312003.1:1398926,2,-0.23958000000000002,1.0,0.922414,d2
SL1344_3896,1,-0.028845999999999997,0.569258,0.9267129999999999,d2
pilP,5,0.01366,1.0,9e-06,d2
ybgJ,1,-0.2038,0.569258,0.9267129999999999,d2
SL1344_0286A,1,-0.16759000000000002,0.569258,0.9267129999999999,d2
ssrA,2,-0.3403,1.0,0.922414,d2
yedE,1,-0.33515,0.569258,0.9267129999999999,d2
prpR,1,-0.0071514,0.569258,0.9267129999999999,d2
FQ312003.1:4617196,1,-0.096525,0.569258,0.9267129999999999,d2
SL1344_3092,3,-0.13812,1.0,9e-06,d2
FQ312003.1:3109025,2,-0.14545,1.0,0.922414,d2
lpfA,1,-0.038392,0.569258,0.9267129999999999,d2
pgtB,2,-0.25721,1.0,0.922414,d2
SL1344_2214,1,-0.31806,0.569258,0.9267129999999999,d2
SL1344_2599,1,-0.16624,0.569258,0.9267129999999999,d2
FQ312003.1:4110870,1,-0.1008,0.569258,0.9267129999999999,d2
FQ312003.1:116344,1,-0.090961,0.569258,0.9267129999999999,d2
yhjY,3,-0.14686,1.0,9e-06,d2
rfaZ,1,-0.12330999999999999,0.569258,0.9267129999999999,d2
fidL,1,-0.23041,0.569258,0.9267129999999999,d2
pphB,2,-0.16616,1.0,0.922414,d2
SL1344_1048,1,-0.25953000000000004,0.569258,0.9267129999999999,d2
HE654724.1:74212,1,-0.18963,0.569258,0.9267129999999999,d2
SL1344_0043,4,-0.0032603000000000003,1.0,9e-06,d2
orf408,2,-0.36353,1.0,0.922414,d2
FQ312003.1:4457468,1,-0.0080623,0.569258,0.9267129999999999,d2
SL1344_0982,1,-0.33868000000000004,0.569258,0.9267129999999999,d2
hilA,4,0.13396,1.0,9e-06,d2
xapB,2,-0.22905,1.0,0.922414,d2
FQ312003.1:603197,1,-0.091918,0.569258,0.9267129999999999,d2
kdpD,1,-0.066118,0.569258,0.9267129999999999,d2
FQ312003.1:1351710,1,-0.41835,0.569258,0.9267129999999999,d2
dsdC,1,-0.23144,0.569258,0.9267129999999999,d2
pgtE,2,-0.10985,1.0,0.556922,d2
SL1344_2691,1,-0.031150999999999998,0.569258,0.9267129999999999,d2
IsrC,1,-0.06322,0.569258,0.9267129999999999,d2
FQ312003.1:2928432,2,-0.20422,1.0,0.556922,d2
yjdB,3,0.16873,1.0,9e-06,d2
fljB,1,-0.11207,0.569258,0.9267129999999999,d2
FQ312003.1:347893,2,-0.28608,1.0,0.556922,d2
sciK1,1,-0.046773,0.569258,0.9267129999999999,d2
FQ312003.1:1541974,2,-0.23233,1.0,0.556922,d2
garL,1,-0.014987,0.569258,0.9267129999999999,d2
FQ312003.1:390460,1,-0.11637,0.569258,0.9267129999999999,d2
FQ312003.1:1136303,1,-0.27202,0.569258,0.9267129999999999,d2
FQ312003.1:2113176,1,-0.15316,0.569258,0.9267129999999999,d2
pefA,1,-0.29974,0.569258,0.9267129999999999,d2
FQ312003.1:116226,1,-0.11854,0.569258,0.9267129999999999,d2
SL1344_2741,1,-0.15724000000000002,0.569258,0.9267129999999999,d2
FQ312003.1:134279,1,-0.10954000000000001,0.569258,0.9267129999999999,d2
yehU,1,-0.33443,0.569258,0.9267129999999999,d2
pilV,3,-0.21955999999999998,1.0,9e-06,d2
typA,1,-0.13927,0.569258,0.9267129999999999,d2
SL1344_0035,1,-0.17265999999999998,0.569258,0.9267129999999999,d2
FQ312003.1:945329,1,-0.24188,0.569258,0.9267129999999999,d2
SL1344_1588,1,-0.13071,0.569258,0.9267129999999999,d2
dcoA,1,-0.21335,0.569258,0.9267129999999999,d2
trbA,1,-0.0065913,0.569258,0.9267129999999999,d2
FQ312003.1:1316994,1,-0.22329000000000002,0.569258,0.9267129999999999,d2
FQ312003.1:189442,1,-0.13585999999999998,0.569258,0.9267129999999999,d2
ssaC,3,-0.11472,1.0,9e-06,d2
stiC,1,-0.14209000000000002,0.569258,0.9267129999999999,d2
SL1344_3143,1,-0.19702999999999998,0.569258,0.9267129999999999,d2
SL1344_1599,1,-0.78671,0.569258,0.9267129999999999,d2
HE654724.1:61307,1,-0.10478,0.569258,0.9267129999999999,d2
selB,1,-0.077418,0.569258,0.9267129999999999,d2
wcaE,1,-0.14045,0.569258,0.9267129999999999,d2
rlgA2,1,-0.091866,0.569258,0.9267129999999999,d2
FQ312003.1:590790,1,-0.098844,0.569258,0.9267129999999999,d2
fumC,1,-0.037023,0.569258,0.9267129999999999,d2
FQ312003.1:2813017,1,-0.17494,0.569258,0.9267129999999999,d2
FQ312003.1:2421918,1,-0.10615,0.569258,0.9267129999999999,d2
SL1344_0833,3,-0.13161,1.0,9e-06,d2
tdcC,1,-0.044241,0.569258,0.9267129999999999,d2
FQ312003.1:1290406,1,-0.049429,0.569258,0.9267129999999999,d2
pilQ,2,-0.12487000000000001,1.0,9e-06,d2
FQ312003.1:428322,1,-0.10275,0.569258,0.9267129999999999,d2
yeaB,1,-0.23367,0.569258,0.9267129999999999,d2
FQ312003.1:1676146,1,-0.17505,0.569258,0.9267129999999999,d2
FQ312003.1:209286,1,-0.19780999999999999,0.569258,0.9267129999999999,d2
mig-3,3,-0.13693,1.0,9e-06,d2
FQ312003.1:2594732,1,-0.1284,0.569258,0.9267129999999999,d2
FQ312003.1:3657737,1,-0.038097000000000006,0.569258,0.9267129999999999,d2
ygaE,1,-0.040132,0.569258,0.9267129999999999,d2
FQ312003.1:2223537,1,-0.12474,0.569258,0.9267129999999999,d2
pilS,3,0.093171,1.0,9e-06,d2
sciJ,1,-0.46069,0.569258,0.9267129999999999,d2
